Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDE09,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.297,12.84,111.52,3.8
Low Fat,FDJ32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.389,12.84,62.55,3.8
Low Fat,FDN32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.48,12.84,185.63,3.8
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.571,12.84,168.25,3.8
Low Fat,DRI23,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.663,12.84,159.66,3.8
Low Fat,DRL47,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.754,12.84,127.54,3.8
Low Fat,NCB07,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.846,12.84,197.41,3.8
Low Fat,NCF42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-398.937,12.84,176.17,3.8
Low Fat,NCK06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.029,12.84,123.18,3.8
Low Fat,NCM07,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.12,12.84,83.99,3.8
Low Fat,NCO02,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.211,12.84,67.51,3.8
Low Fat,FDI57,Seafood,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.303,12.84,195.78,3.8
Low Fat,FDE46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.394,12.84,150.74,3.8
Regular,FDJ36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.486,12.84,104.53,3.8
Regular,FDB38,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.577,12.84,159.69,3.8
Regular,FDD26,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.668,12.84,186.59,3.8
Regular,FDR01,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.76,12.84,200.17,3.8
Regular,FDR25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.851,12.84,263.79,3.8
Regular,FDN03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-399.943,12.84,248.64,3.8
Regular,FDR27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.034,12.84,130.79,3.8
Regular,FDU51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.126,12.84,178.7,3.8
Regular,FDX39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.217,12.84,209.76,3.8
Regular,FDT09,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.308,12.84,133.23,3.8
low fat,FDQ20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.4,12.84,40.81,3.8
Regular,FDX07,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,-400.491,19.2,182.1,3.7
Low Fat,FDO23,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,-400.583,17.85,93.14,3.7
Regular,FDX10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.674,12.84,36.99,3.7
Regular,FDL12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-400.766,15.85,60.62,3.7
Low Fat,FDY21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-400.857,15.1,194.51,3.7
Low Fat,NCP18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-400.948,12.84,149.97,3.7
Regular,DRB48,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-401.04,16.75,38.78,3.7
Low Fat,NCO26,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-401.131,7.24,116.05,3.7
Low Fat,FDA45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-401.223,21.25,178.24,3.7
Low Fat,FDR07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-401.314,12.84,97.01,3.7
Low Fat,NCB30,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-401.405,12.84,198.81,3.7
reg,FDX49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,-401.497,12.84,232.63,3.7
Regular,FDS45,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,-401.588,12.84,107.36,3.7
Low Fat,FDY59,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-401.68,8.2,94.35,3.7
Regular,FDW43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-401.771,20.1,226.8,3.7
Low Fat,NCM07,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,-401.863,9.4,82.49,3.7
Low Fat,NCM55,Others,2011,OUT010,Tier 3,Medium,Grocery Store,-401.954,15.6,184.79,3.7
Regular,FDK20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-402.045,12.6,124.01,3.7
Low Fat,DRK23,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,-402.137,8.4,254.1,3.7
Regular,FDX33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-402.228,12.84,159.46,3.7
Regular,FDY02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,-402.32,8.95,264.79,3.7
Low Fat,FDD50,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,-402.411,18.85,168.11,3.7
Low Fat,FDK34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-402.502,13.35,240.26,3.7
Regular,FDE35,Starchy Foods,2011,OUT010,Tier 3,Medium,Grocery Store,-402.594,7.06,58.89,3.7
Regular,FDS21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-402.685,19.85,62.02,3.7
Low Fat,FDQ56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,-402.777,6.59,85.69,3.7
Low Fat,FDH10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-402.868,21,195.05,3.7
Low Fat,FDR14,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,-402.96,11.65,55.53,3.7
Low Fat,FDO13,Breakfast,2020,OUT017,Tier 2,Medium,Supermarket Type1,-403.051,7.87,166.35,3.7
Low Fat,FDZ56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-403.142,16.25,168.15,3.7
LF,FDK40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.234,7.04,263.79,3.7
LF,FDQ16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.325,19.7,110.39,3.7
LF,FDY31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.417,5.98,148.24,3.7
Low Fat,FDW36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.508,11.15,106.86,3.7
Low Fat,FDV50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.599,14.3,124.37,3.7
Low Fat,FDC41,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.691,15.6,78.07,3.7
Low Fat,DRN59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.782,15,45.21,3.7
Low Fat,NCN05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.874,8.24,182.3,3.7
Low Fat,NCS53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,-403.965,14.5,160.36,3.7
Low Fat,NCD07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.057,9.1,112.55,3.7
Low Fat,NCC07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.148,19.6,104.6,3.7
Low Fat,FDH34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.239,8.63,183.96,3.7
Low Fat,FDP58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.331,11.1,220.75,3.7
Low Fat,FDS57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.422,15.5,143.55,3.7
Low Fat,FDB59,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.514,18.25,198.01,3.7
Regular,FDK60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.605,16.5,95.21,3.7
Regular,FDO01,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.696,21.1,128.8,3.7
Regular,FDR32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.788,6.78,227.57,3.7
Regular,FDT32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.879,19,189.62,3.7
Regular,DRB13,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,-404.971,6.12,188.65,3.7
Low Fat,FDN24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,-405.062,12.84,54.4,3.7
Low Fat,FDB09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-405.154,12.84,123.1,3.7
Low Fat,NCE19,Household,2018,OUT019,Tier 1,Small,Grocery Store,-405.245,12.84,54.6,3.7
Low Fat,NCQ30,Household,2018,OUT019,Tier 1,Small,Grocery Store,-405.336,12.84,120.54,3.7
Low Fat,FDK27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,-405.428,12.84,122.28,3.7
Low Fat,FDP39,Meat,2018,OUT019,Tier 1,Small,Grocery Store,-405.519,12.84,53.73,3.7
Low Fat,NCL07,Others,2018,OUT019,Tier 1,Small,Grocery Store,-405.611,12.84,40.55,3.7
Low Fat,FDP46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,-405.702,12.84,88.38,3.7
Low Fat,FDV46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,-405.793,12.84,141.42,3.7
Low Fat,DRH13,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,-405.885,12.84,107.63,3.7
Regular,FDR01,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-405.976,12.84,200.47,3.7
Regular,FDU01,Canned,2018,OUT019,Tier 1,Small,Grocery Store,-406.068,12.84,185.19,3.7
Regular,FDT07,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,-406.159,12.84,256.13,3.7
Low Fat,FDX60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.251,14.35,81,3.7
Low Fat,FDG16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.342,15.25,217.32,3.7
Low Fat,FDH08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.433,7.51,229.6,3.7
Low Fat,FDR08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.525,18.7,110.79,3.7
Low Fat,FDI20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.616,19.1,209.26,3.7
Low Fat,FDM32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.708,20.5,91.08,3.7
Low Fat,NCV53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.799,8.27,237.99,3.7
Low Fat,NCG42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.89,19.2,129.83,3.7
Low Fat,NCO07,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,-406.982,9.06,213.76,3.7
Low Fat,DRI13,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,-407.073,15.35,216.75,3.7
Regular,FDI36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,-407.165,12.5,199.74,3.7
Regular,FDO52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,-407.256,11.6,172.51,3.7
Regular,FDF56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,-407.348,16.7,182.8,3.7
LF,NCB42,Health and Hygiene,2015,OUT045,Tier 2,Medium,Supermarket Type1,-407.439,11.8,117.65,3.7
LF,FDN44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,-407.53,13.15,157.89,3.7
LF,FDA32,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,-407.622,14,216.92,3.7
Low Fat,FDT25,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,-407.713,7.5,121.71,3.7
Low Fat,FDE26,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,-407.805,9.3,145.38,3.7
Low Fat,FDG16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,-407.896,15.25,215.12,3.7
Low Fat,FDO32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-407.987,6.36,45.71,3.7
Low Fat,FDI20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,-408.079,19.1,212.16,3.7
Low Fat,DRL35,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,-408.17,15.7,43.28,3.7
Low Fat,NCL53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,-408.262,7.5,175.4,3.7
Low Fat,NCK30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,-408.353,14.85,253.27,3.7
Low Fat,NCP43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,-408.445,17.75,177.87,3.7
Low Fat,FDF22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,-408.536,6.87,214.62,3.7
Low Fat,FDT48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,-408.627,4.92,199.81,3.7
Low Fat,FDU25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,-408.719,12.35,57.32,3.7
Low Fat,FDO04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-408.81,16.6,54.66,3.7
Low Fat,FDG29,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,-408.902,17.6,41.75,3.7
Low Fat,NCO17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,-408.993,10,121.44,3.7
Low Fat,NCZ30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,-409.084,6.59,119.11,3.7
Low Fat,FDK27,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,-409.176,11,119.98,3.7
Low Fat,DRL49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,-409.267,13.15,144.38,3.7
Regular,FDN56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,-409.359,5.46,145.58,3.7
Regular,FDV56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,-409.45,16.1,109.36,3.7
Regular,FDU20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,-409.542,19.35,122.21,3.7
Regular,FDV33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-409.633,9.6,258.33,3.7
Regular,FDN22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-409.724,18.85,252.47,3.7
Regular,FDB23,Starchy Foods,2015,OUT045,Tier 2,High,Supermarket Type1,-409.816,19.2,223.81,3.7
Regular,FDT35,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,-409.907,19.85,167.68,3.7
Regular,FDD38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,-409.999,16.75,101.97,3.7
Regular,FDI40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-410.09,11.5,100.64,3.7
Regular,FDB29,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,-410.181,16.7,114.72,3.7
Regular,FDK10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,-410.273,5.79,180.37,3.7
Regular,FDT09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,-410.364,15.15,130.03,3.7
Low Fat,FDO12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.456,15.75,195.85,3.7
Low Fat,FDU23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.547,12.15,163.12,3.7
Low Fat,FDJ50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.639,8.65,53.4,3.7
Low Fat,FDX02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.73,16,225.94,3.7
Low Fat,DRE03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.821,19.6,45.57,3.7
Low Fat,FDK16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-410.913,9.07,97.01,3.7
Low Fat,FDG04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.004,13.1,188.99,3.7
Low Fat,FDB53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.096,13.35,148.34,3.7
Low Fat,NCW17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.187,18,129.4,3.7
Low Fat,NCP05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.279,19.6,152,3.7
Low Fat,NCT42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.37,5.88,149.44,3.7
Low Fat,NCT30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.461,9.1,47.27,3.7
Low Fat,NCE18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.553,10,248.38,3.7
Low Fat,FDL33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.644,7.24,197.25,3.7
Low Fat,FDM21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.736,20.2,259.46,3.7
Regular,FDQ47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.827,7.16,33.79,3.7
Regular,FDN49,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,-411.918,17.25,41.65,3.7
Regular,FDE51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.01,5.93,43.81,3.7
Regular,FDZ26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.101,11.6,239.62,3.7
Regular,FDQ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.193,11.1,177.27,3.7
Regular,FDI40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.284,11.5,99.74,3.7
Regular,FDJ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.376,13.6,110.09,3.7
Regular,FDV19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.467,14.85,160.96,3.7
Regular,FDN58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.558,13.8,231.6,3.7
reg,FDL14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,-412.65,8.12,157.4,3.7
Low Fat,FDB28,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,-412.741,6.62,196.34,3.7
Low Fat,FDJ41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,-412.833,6.85,261.26,3.7
Low Fat,FDJ28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,-412.924,12.3,193.32,3.7
Low Fat,FDS40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,-413.015,15.35,35.22,3.7
Low Fat,FDE09,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,-413.107,8.78,110.72,3.7
Low Fat,NCX05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,-413.198,15.2,117.65,3.7
Low Fat,NCA54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,-413.29,16.5,178.73,3.7
Low Fat,NCB07,Household,2011,OUT010,Tier 3,High,Grocery Store,-413.381,19.2,196.21,3.7
Low Fat,FDK46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,-413.473,9.6,258.36,3.7
Low Fat,FDV09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,-413.564,12.1,146.67,3.7
Regular,FDJ03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,-413.655,12.35,47.87,3.7
Regular,FDU26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,-413.747,16.7,120.38,3.7
Regular,FDO56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,-413.838,10.2,119.18,3.7
Regular,FDT15,Meat,2011,OUT010,Tier 3,High,Grocery Store,-413.93,12.15,182.3,3.7
low fat,FDB60,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,-414.021,9.3,195.01,3.7
Low Fat,FDO36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,-414.112,19.7,179.17,3.7
Low Fat,FDT25,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,-414.204,7.5,123.41,3.7
Low Fat,FDR49,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,-414.295,8.71,46.54,3.7
Low Fat,FDQ52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-414.387,17,247.44,3.7
Low Fat,FDI52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-414.478,18.7,121.41,3.7
Low Fat,FDX44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-414.57,9.3,88.52,3.7
Low Fat,FDG57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,-414.661,14.7,47.5,3.7
Low Fat,NCB54,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,-414.752,8.76,126.73,3.7
Low Fat,NCR05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,-414.844,10.1,196.51,3.7
Low Fat,NCH07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-414.935,13.15,159.56,3.7
Low Fat,NCL42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-415.027,18.85,246.71,3.7
Low Fat,NCO30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-415.118,19.5,181.86,3.7
Low Fat,NCC07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-415.209,19.6,103.2,3.7
Low Fat,FDK45,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,-415.301,11.65,111.69,3.7
Low Fat,FDI22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-415.392,12.6,208.96,3.7
Low Fat,FDP10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-415.484,19,107.66,3.7
Low Fat,DRE12,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-415.575,4.59,113.29,3.7
Low Fat,DRJ49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-415.667,6.87,129.97,3.7
Regular,FDX47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,-415.758,6.55,156.53,3.7
Regular,FDA03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,-415.849,18.5,144.91,3.7
Regular,DRM49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,-415.941,6.11,43.01,3.7
Regular,FDD47,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,-416.032,7.6,171.34,3.7
low fat,NCD06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,-416.124,13,46.31,3.7
reg,FDZ26,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,-416.215,11.6,240.62,3.7
LF,FDA44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.306,19.7,55.09,3.7
Low Fat,FDT38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.398,18.7,85.36,3.7
Low Fat,FDT04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.489,17.25,40.88,3.7
Low Fat,FDK52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.581,18.25,224.11,3.7
Low Fat,FDS07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.672,12.35,113.65,3.7
Low Fat,FDF32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.764,16.35,196.34,3.7
Low Fat,NCV41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.855,14.35,110.32,3.7
Low Fat,NCH54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,-416.946,13.5,160.69,3.7
Low Fat,FDJ07,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.038,7.26,118.12,3.7
Low Fat,FDL15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.129,17.85,153.67,3.7
Low Fat,NCM07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.221,9.4,85.19,3.7
Low Fat,FDI57,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.312,19.85,196.08,3.7
Low Fat,FDA10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.403,20.35,122.71,3.7
Low Fat,FDL46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.495,20.35,117.35,3.7
Low Fat,FDC35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.586,7.44,206.16,3.7
Regular,FDI36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.678,12.5,196.94,3.7
Regular,FDW02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.769,4.81,126.27,3.7
Regular,FDZ28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.861,20,125.87,3.7
Regular,FDF08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-417.952,14.3,89.89,3.7
low fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,-418.043,10,264.72,3.7
reg,FDU19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,-418.135,8.77,173.84,3.7
Low Fat,FDZ52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.226,12.84,109.19,3.7
Low Fat,NCA42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.318,12.84,158.06,3.7
Low Fat,NCQ50,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.409,12.84,211.92,3.7
Low Fat,FDU39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.5,12.84,58.36,3.7
Low Fat,FDF58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.592,12.84,64.55,3.7
Low Fat,FDH34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.683,12.84,186.66,3.7
Low Fat,FDK57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.775,12.84,120.04,3.7
Low Fat,FDM10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.866,12.84,215.12,3.7
Low Fat,FDQ22,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-418.958,12.84,40.98,3.7
Low Fat,DRI01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,-419.049,12.84,173.14,3.7
Regular,FDT24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,-419.14,12.84,75.93,3.7
Regular,FDT47,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,-419.232,12.84,95.91,3.7
Regular,FDD40,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,-419.323,12.84,193.62,3.7
Regular,FDG56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,-419.415,12.84,60.55,3.7
